,team,year,salary,z_salary
118,Jazz,2004,47664834,-1.279762834609911
119,Wizards,2004,62665145,-0.6135561863563628
120,Hawks,2005,54541750,-1.1722027602374268
121,Celtics,2005,85781666,0.35402175653102447
122,Nets,2005,73038252,-0.268557090164028
123,Hornets,2005,31777676,-2.284340444613123
124,Bulls,2005,76083041,-0.1198040775058987
125,Cavaliers,2005,65322231,-0.6455229060164209
126,Mavericks,2005,122087058,2.127719847181755
127,Nuggets,2005,61239508,-0.8449841317692187
128,Pistons,2005,72744025,-0.2829315353736512
129,Warriors,2005,72984778,-0.2711695597305171
130,Rockets,2005,80078966,0.07541663634518764
131,Pacers,2005,87757491,0.45055058701328393
132,Clippers,2005,60417931,-0.8851222345673528
133,Lakers,2005,86421591,0.3852852600530266
134,Grizzlies,2005,89014183,0.5119462111380985
135,Heat,2005,79068387,0.02604485039251911
136,Bucks,2005,76311674,-0.10863422385000791
137,Timberwolves,2005,93148799,0.7139426667823168
138,Pelicans,2005,75148878,-0.1654425636419679
139,Knicks,2005,136246125,2.8194603496199533
140,Thunder,2005,71493802,-0.34401111683052205
141,Magic,2005,88262891,0.4752418784615316
142,Sixers,2005,95577649,0.8326040107357722
143,Suns,2005,59242886,-0.9425289986350343
144,Trailblazers,2005,111145218,1.5931568071736537
145,Kings,2005,82102563,0.17427936547221498
146,Spurs,2005,63102345,-0.7539753243145703
147,Raptors,2005,81964528,0.16753567252591728
148,Jazz,2005,57804382,-1.0128070388278916
149,Wizards,2005,66148166,-0.6051718933486163
150,Hawks,2006,55637806,-1.1566337196166878
151,Celtics,2006,73727568,-0.3612520789158156
152,Nets,2006,86089992,0.18230648665070984
153,Hornets,2006,43348490,-1.6969778282440695
154,Bulls,2006,74063420,-0.34648513423226096
155,Cavaliers,2006,66468036,-0.6804435902734821
156,Mavericks,2006,127555437,2.005484352478452
157,Nuggets,2006,73189740,-0.3848996270181549
158,Pistons,2006,77241130,-0.2067656512743553
159,Warriors,2006,73996097,-0.34944523277843886
160,Rockets,2006,89728032,0.34226603858596477
161,Pacers,2006,102080515,0.8853875122277757
162,Clippers,2006,66538878,-0.6773287661983766
163,Lakers,2006,94470531,0.5507871145206424
164,Grizzlies,2006,87484273,0.24361108034177403
165,Heat,2006,78683332,-0.14335403795506016
166,Bucks,2006,81650278,-0.012901554536489453
167,Timberwolves,2006,80105527,-0.08082210456110078
168,Pelicans,2006,53478171,-1.2515898627442221
169,Knicks,2006,164059853,3.6105326826282442
170,Thunder,2006,63811353,-0.7972542416995272
171,Magic,2006,98184730,0.7140952716157739
172,Sixers,2006,109874062,1.2280589193883211
173,Suns,2006,69477600,-0.5481172527509498
174,Trailblazers,2006,77757662,-0.18405445863210257
175,Kings,2006,81377510,-0.024894783600016963
176,Spurs,2006,82359939,0.018301251256169496
177,Raptors,2006,80859160,-0.047685911170257916
178,Jazz,2006,74330792,-0.3347291597734774
179,Wizards,2006,70681221,-0.4951957137189811
180,Hawks,2007,60335733,-1.226953982145798
181,Celtics,2007,78219015,-0.1271198848171178
182,Nets,2007,80087671,-0.012196260340479647
183,Hornets,2007,52116690,-1.7324307586575485
184,Bulls,2007,68002127,-0.7554654978308938
185,Cavaliers,2007,78232989,-0.12626047424158302
186,Mavericks,2007,109950959,1.8244164151598234
